timestamp,program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
9/9/2025 17:55:20,Master's (DS),Yes,1-2 years,3,MacOS,No,Mandarin,"Antarctica, Asia, Europe, North America",8/9/2002,7:15:00 AM,2:00:00 AM,Fall,Coffee,Pet dog,,"Action, Comedy, Drama, Sci-Fi, Fantasy, Romance",,
9/9/2025 17:55:36,PhD,Yes,2-4 years,4,MacOS,Yes,Chinese English,"Asia, North America",12/21/2000,11:59:00 AM,2:00:00 AM,Summer,No caffeine for me!,Pet dog,Moving Castles,"Action, Sci-Fi",Piano,
9/9/2025 17:55:41,Master's (Bioinformatics),Yes,1-2 years,3,MacOS,No,"English, Chinese","Asia, Europe, North America",4/5/2003,7:00:00 AM,11:00:00 AM,Summer,Coffee,Pet cat,Charlie and the Chocolate Factory,"Comedy, Fantasy, Romance","traveling, dancing, doing work-out",
9/9/2025 17:55:54,Bachelor's (CS),Yes,2-4 years,3,MacOS,Yes,"English, Filipino","Asia, North America",7/4/2005,8:30:00 AM,1:00:00 AM,Fall,Coffee,Pet dog,La La Land,"Comedy, Drama, Horror, Sci-Fi, Mystery/Thriller, Romance, Documentary","biking, hiking, tennis",
9/9/2025 17:57:06,Bachelor's (CS),Yes,4+ years,2,MacOS,Yes,"English, Chinese, Cantonese, Malay","Asia, Australia, Europe, North America",9/30/2005,8:00:00 AM,12:30:00 AM,Fall,No caffeine for me!,Pet dog,,,,
9/9/2025 17:57:18,Master's (DS),Yes,2-4 years,5,MacOS,No,"Chinese, English","Asia, North America",7/4/2003,8:30:00 AM,12:00:00 AM,Fall,No caffeine for me!,Pet dog,,"Horror, Mystery/Thriller","crochet, music, photography",
9/9/2025 17:58:59,Bachelor's (CS),Yes,4+ years,4,Windows,Yes,"English, Thai","Asia, Australia, Europe, North America, South America",12/8/2004,8:30:00 AM,12:00:00 AM,Fall,Tea,Pet dog,EEAAO,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller","basketball, cooking, coding",
9/9/2025 18:00:20,Bachelor's (CS),Yes,2-4 years,3,MacOS,No,English,"Europe, North America",2/8/2005,7:00:00 AM,12:00:00 AM,Winter,No caffeine for me!,Pet cat,Mamma Mia,"Comedy, Drama, Fantasy","Hiking, playing guitar, reading",
9/9/2025 18:02:40,Master's (DS),Yes,2-4 years,3,Windows,Yes,"English,Chinese","Africa, Asia, Europe, North America, South America",11/6/2002,9:00:00 AM,12:00:00 AM,Spring,No caffeine for me!,Pet cat,,"Action, Horror, Sci-Fi","Scuba dive,tennis, traveling",
9/9/2025 18:02:44,MS/MBA,Yes,1-2 years,3,MacOS,Yes,"English, Mandarin, Spanish","Asia, Europe, North America, South America",2/16/2002,8:00:00 AM,1:00:00 AM,Summer,No caffeine for me!,Pet rock,Pacific Rim,"Action, Comedy, Sci-Fi","Chess, Bouldering, Ultimate Frisbee",
9/9/2025 18:03:33,Master's (DS) [Extension School],Yes,1-2 years,4,MacOS,Yes,"English, Spanish, Portuguese","North America, South America",5/5/1989,4:00:00 AM,9:00:00 PM,Summer,Energy drinks,Pet dog,Le Fabuleux Destin d'Amélie Poulain,"Comedy, Drama","woodworking, off-roading, DIY",
9/9/2025 18:04:30,Bachelor's (Statistics),Yes,2-4 years,4,MacOS,No,English,"Europe, North America",,,,,,,,,,
9/9/2025 18:04:49,Master's (DS) [Extension School],Yes,1-2 years,3,MacOS,Yes,Chinese/Taiwanese,"Africa, Asia, Australia, Europe, North America, South America",8/18/1977,5:55:00 AM,12:30:00 AM,Summer,Coffee,Pet dog,Jurassic Park,"Action, Comedy, Sci-Fi, Fantasy, Documentary","Skiing, Basketball, American Football",
9/9/2025 18:04:58,Master's (DS) [Extension School],Yes,2-4 years,3,Linux,Yes,"English, French","Europe, North America",8/21/1988,7:00:00 AM,10:45:00 PM,Fall,Tea,Pet cat,The Princess Bride,"Action, Comedy, Sci-Fi, Mystery/Thriller, Documentary","Ceramics, Computer Gaming, Singing",
9/9/2025 18:11:27,PhD,Yes,4+ years,5,MacOS,Yes,"English, Spanish","Asia, Europe, North America",4/5/2002,8:00:00 AM,11:00:00 AM,Spring,Tea,Pet dog,,"Comedy, Sci-Fi","crocheting, baking",
9/9/2025 18:13:06,Artificial Intelligence Graduate Certificate [Extension School],No,Less than 1 year,1,I use Google colab,No,"Bengali, English","Asia, Australia, Europe, North America",7/26/1972,5:30:00 AM,10:30:00 PM,Spring,Tea,Pet cat,The Message (1976 film),"Drama, Mystery/Thriller, Documentary","reading books, cooking, music",
9/9/2025 18:16:05,Master's (DS) [Extension School],Yes,4+ years,4,Windows,No,"English, Spanish, German","Asia, Europe, North America",6/22/1975,6:30:00 AM,11:30:00 AM,Winter,Coffee,Pet cat,Star Wars: Episode IV - A New Hope,"Action, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Music, Data Science, Car Detailing",
9/9/2025 18:17:11,Bachelor's (Economics),No,Less than 1 year,1,MacOS,No,"English, Chinese","Asia, Europe, North America",9/1/2004,8:00:00 AM,11:30:00 PM,Winter,No caffeine for me!,Pet dog,Good Will Hunting,Romance,"Running, skiing, watching TV",
9/9/2025 18:18:15,Master's (CSE),Yes,4+ years,4,MacOS,No,"English, French","Africa, Asia, Australia, Europe, North America, South America",12/20/2004,8:00:00 AM,11:00:00 PM,Winter,No caffeine for me!,Pet cat,,"Comedy, Sci-Fi, Fantasy, Mystery/Thriller, Romance",,
9/9/2025 18:19:23,Master's (DS) [Extension School],Yes,Less than 1 year,1,Windows,Yes,"English, French, Chinese","Asia, Europe, North America",5/5/1987,5:00:00 AM,1:00:00 AM,Fall,Tea,Pet dog,The Sound of Music,"Action, Comedy, Mystery/Thriller, Romance, Documentary","Yoga, rock climbing, reading",
9/9/2025 18:19:35,Master's (DS),Yes,2-4 years,3,MacOS,Yes,"English, Chinese, Korean","Asia, Europe, North America, South America",12/19/2002,9:00:00 AM,1:00:00 AM,Summer,Coffee,Pet dog,Lion King,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary",,
9/9/2025 18:19:46,Bachelor's (CS),Yes,1-2 years,1,MacOS,Yes,Mandarin,"Asia, Europe, North America",1/24/2005,10:00:00 AM,1:00:00 AM,Summer,Energy drinks,Pet rock,,,,
9/9/2025 18:21:17,Bachelor's (CS),Yes,1-2 years,2,MacOS,No,"English, Mandarin","Asia, Australia, Europe, North America",12/25/2004,9:00:00 AM,2:00:00 AM,Summer,Coffee,Pet dog,I dont know,"Action, Comedy, Romance, Documentary","running, walking my dog, watching basketball games",
9/9/2025 18:22:11,Bachelor's (Statistics),No,2-4 years,2,MacOS,No,English,"Asia, Europe, North America",2/15/2005,8:00:00 AM,12:00:00 AM,Summer,No caffeine for me!,Pet dog,Aladdin,"Comedy, Drama, Fantasy, Romance","playing pickleball, reading, playing piano",
9/9/2025 18:22:30,Bachelor's (CS),Yes,1-2 years,1,MacOS,No,"English, Spanish","Europe, North America, South America",8/10/2004,8:00:00 AM,12:00:00 AM,Summer,Tea,Pet dog,,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller, Romance","reading, running, netflix",
9/9/2025 18:22:36,PhD,Yes,4+ years,3,Linux,Yes,"English, Arabic, Dutch, German, Italian","Asia, Europe, North America",5/30/1997,8:00:00 AM,12:12:00 AM,Fall,Coffee,Pet cat,The Grand Budapest Hotel,"Comedy, Horror, Fantasy, Arthouse","lifting weights, crochet, smoking hookah",
9/9/2025 18:23:05,mit,Yes,Less than 1 year,2,MacOS,Yes,"english, chinese, french","Asia, Australia, Europe, North America",4/24/2003,9:30:00 AM,1:00:00 AM,Spring,Coffee,Pet dog,fast and furious,"Action, Comedy","air rifle, cafe hopping, gyming",
9/9/2025 18:28:50,PhD,Yes,Less than 1 year,1,MacOS,No,"English, Danish","Europe, North America, South America",10/10/1998,9:00:00 AM,11:00:00 PM,Fall,Coffee,Pet dog,,"Comedy, Drama, Sci-Fi, Fantasy, Documentary","Gardening, hiking, aerial acrobatics",
9/9/2025 18:30:07,PhD,No,Less than 1 year,1,Windows,No,"English, Croatian, Bosnian, Serbian, Montenegrin","Asia, Europe, North America",4/17/1991,8:00:00 AM,12:00:00 AM,Summer,Coffee,Pet dog,The Shawshank Redemption,"Action, Comedy","running, learning data science, having coffee with friends",
9/9/2025 18:36:26,Bachelor's (Statistics),Yes,4+ years,3,MacOS,No,"English, Hindi, Spanish","Asia, Europe, North America, South America",5/20/2005,8:27:00 AM,1:00:00 AM,Spring,Coffee,Pet dog,Interstellar,"Action, Comedy, Sci-Fi, Fantasy, Mystery/Thriller, Romance","singing, writing, playing guitar",
9/9/2025 18:37:36,Master's (DS),Yes,1-2 years,3,MacOS,No,Chinese，English,North America,1/31/2003,8:30:00 AM,12:00:00 AM,Spring,Coffee,Pet dog,Avatar,Romance,"Travel, Watch TV series, Shopping",
9/9/2025 18:38:11,Master's (DS),Yes,1-2 years,2,Windows,Yes,Chinese ,"Asia, North America",8/11/2003,10:00:00 AM,2:00:00 AM,Spring,Coffee,Pet dog,The Dark Knight Rises ,"Sci-Fi, Documentary","Reading, bird watching, photography ",
9/9/2025 18:38:44,Bachelor's (CS),Yes,Less than 1 year,2,MacOS,No,English,"Africa, Asia, Australia, Europe, North America, South America",5/31/2004,8:00:00 AM,1:00:00 AM,Fall,Coffee,Pet dog,,,,
9/9/2025 18:38:54,Master's (DS) [Extension School],Yes,4+ years,2,Windows,Yes,English,"Asia, North America",8/25/1997,7:00:00 AM,12:00:00 AM,Fall,Coffee,Pet rock,Lost in Translation,"Action, Comedy, Sci-Fi","Piano, Guitar, Writing Poetry",
9/9/2025 18:44:00,Bachelor's (CS),Yes,4+ years,4,MacOS,Yes,"Persian, English","Asia, Europe, North America",3/29/2005,8:00:00 AM,12:00:00 AM,Fall,Energy drinks,Pet dog,Shutter Island,"Action, Drama, Sci-Fi, Mystery/Thriller, Romance","Running/walking, listening to music, trying new food",
9/9/2025 18:46:00,"Master's (DBMI, HMS)",Yes,1-2 years,3,MacOS,Yes,"Chinese, English","Asia, Europe, North America",10/24/2002,7:45:00 AM,12:00:00 AM,Fall,Coffee,Pet cat,,"Horror, Mystery/Thriller, Romance, Documentary","playing valorant, playing with my cat, cooking",
9/9/2025 18:46:15,Bachelor's (Neuroscience),Yes,2-4 years,2,MacOS,Yes,"English, Spanish","Europe, North America, South America",6/16/2004,9:30:00 AM,1:30:00 AM,Fall,Tea,Pet dog,Everything Everywhere All At Once,"Action, Comedy, Fantasy, Romance","playing guitar, painting",
9/9/2025 18:47:21,Master's (Landscape Architecture),No,Less than 1 year,1,Windows,Yes,"English, Chinese",Asia,11/10/2001,9:30:00 AM,1:00:00 AM,Winter,Coffee,Pet dog,,"Action, Comedy, Drama",,
9/9/2025 18:47:34,Master’s (CBQG),Yes,4+ years,4,MacOS,Yes,"Mandarin, English","Asia, Europe, North America",2/10/2003,8:40:00 AM,1:00:00 AM,Fall,No caffeine for me!,Pet rock,Smile 2,"Comedy, Horror","going to live concert, watching horror movies, listening to music ",
9/9/2025 18:49:08,Bachelor's (CS),Yes,4+ years,4,MacOS,Yes,"English, Krio",North America,2/13/2004,9:15:00 AM,2:00:00 AM,Summer,Energy drinks,Pet dog,Avengers: Endgame,"Action, Comedy, Drama, Mystery/Thriller, Documentary","Playing Nintendo, watching anime, spending time with friends",
9/9/2025 18:49:36,MS/MBA,Yes,Less than 1 year,2,Windows,Yes,"Swahili, Basic French","Africa, Asia, Europe, North America, South America",4/2/1995,6:00:00 AM,10:00:00 PM,Summer,Coffee,Pet cat,Groundhog Day,"Action, Comedy, Mystery/Thriller","Chess, Running, Reading",
9/9/2025 18:52:31,Master's (DS),Yes,4+ years,4,MacOS,Yes,"English, Korean, Japanese","Asia, Europe, North America",10/24/1997,8:30:00 AM,1:00:00 AM,Fall,Coffee,Pet dog,Mission Impossible series,"Action, Comedy, Drama, Romance","watching YT, going on a walk, walking my dog",
9/9/2025 18:57:50,Master's (DS),Yes,2-4 years,3,MacOS,No,"Mandarine, English","Asia, Europe, North America",12/20/2002,10:00:00 AM,2:00:00 AM,Fall,Coffee,Pet cat,Harry Potter,"Action, Comedy, Fantasy, Romance","playing tennis, playing the piano, traveling",
9/9/2025 18:57:52,PhD,Yes,1-2 years,2,MacOS,No,English,"Asia, Europe, North America",4/20/2000,6:45:00 AM,11:00:00 PM,Fall,Coffee,Pet dog,,"Action, Comedy, Drama, Romance, Documentary","skiing, running, hiking",
9/9/2025 18:58:12,Faculty ,Yes,4+ years,5,MacOS,Yes,"Greek, English ","Africa, Antarctica, Asia, Australia, Europe, North America, South America",9/10/1966,6:00:00 AM,1:00:00 AM,Winter,Coffee,Pet rock,withnail and I,,"xc skiing, road cycling and teaching ",
9/9/2025 19:03:38,,Yes,Less than 1 year,1,MacOS,Yes,,"Asia, North America",,7:30:00 AM,12:00:00 AM,Fall,No caffeine for me!,Pet dog,,"Fantasy, Romance",,
9/9/2025 19:05:23,HSE Student (taking this course only in the whole semester),Yes,2-4 years,4,MacOS,Yes,Spanish and English,North America,9/23/1999,7:00:00 AM,10:30:00 PM,Winter,Coffee,Pet dog,Demon Slayer: Infinity Castle,"Comedy, Drama, Horror, Sci-Fi, Mystery/Thriller, Romance, Documentary","hitting the gym, playing videogames, cooking",
9/9/2025 19:07:52,Master's (DS) [Extension School],Yes,2-4 years,4,MacOS,No,"German, English, Spanish","Africa, Asia, Europe, North America",10/31/1970,5:30:00 AM,10:00:00 PM,Fall,Coffee,Pet rock,2001: A Space Odyssey,"Sci-Fi, Documentary, Independent","Hiking, skiing, piano playing",
9/9/2025 19:08:55,Master's (DS),Yes,2-4 years,3,MacOS,Yes,"English, Chinese","Asia, Europe, North America, South America",3/21/2003,8:00:00 AM,2:00:00 AM,Fall,Coffee,Pet dog,Little Women (2019),"Action, Drama, Sci-Fi, Romance","swimming, watching movies, grocery shopping",
9/9/2025 19:16:15,Master's (DS) [Extension School],Yes,4+ years,4,Windows,Yes,"English, French","Africa, Asia, Australia, Europe, North America, South America",,6:30:00 AM,10:00:00 PM,Summer,Coffee,Pet dog,Pulp Fiction ,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller, Romance","Padel, Running, Fantasy Baseball",
9/9/2025 19:16:53,PhD,Yes,1-2 years,2,MacOS,Yes,Elvish,"Asia, Europe, North America",10/18/2000,9:30:00 AM,1:00:00 AM,Spring,Coffee,Pet cat,,"Action, Comedy, Sci-Fi, Documentary","dancing, cooking, hiking",
9/9/2025 19:19:29,Bachelor's (CS),Yes,4+ years,2,wsl,Yes,English,Asia,7/27/2005,8:30:00 AM,2:00:00 AM,Summer,Tea,Pet dog,"Jurassic Park, Jaws, Grease","Action, Comedy, Romance, Documentary","Coding, Reading, Fishing",
9/9/2025 19:25:05,Master's (DS),Yes,1-2 years,1,Windows,Yes,"English, Chinese","Asia, North America",6/10/2003,9:30:00 AM,12:30:00 AM,Spring,Coffee,Pet rock,Harry Potter and the Half-Blood Prince,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","FPS game (CS2, APEX legend, Valorant), watch movies, listen musics",
9/9/2025 19:26:35,Bachelor's (CS),Yes,4+ years,1,Windows,Yes,English,"Asia, North America",6/28/2005,9:30:00 AM,1:30:00 AM,Summer,No caffeine for me!,Pet dog,Hidden Figures,I don’t watch a lot of movies.,"Piano, board games, and puzzles",
9/9/2025 19:27:48,Master's (DS),Yes,2-4 years,3,MacOS,Yes,"Russian, English, Spanish","Asia, Europe, North America, South America",12/20/1994,4:30:00 AM,9:00:00 PM,Summer,Coffee,Pet cat,Mad Max: Fury Road,"Action, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","submission grappling, record crate digging, reading",
9/9/2025 19:32:29,Master's (DS) [Extension School],Yes,4+ years,3,Linux,Yes,"English, Farsi, Turkish","Asia, Europe, North America",7/6/1984,7:00:00 AM,11:00:00 AM,Summer,Coffee,Pet dog,Matrix,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller","Movies, Nature, Exploration",
9/9/2025 19:40:45,PhD,Yes,2-4 years,3,Windows,Yes,"English, Spanish, ","Europe, North America",4/20/1999,6:10:00 AM,11:30:00 PM,Summer,Coffee,Pet cat,Surf's Up,"Action, Comedy, Horror, Sci-Fi, Mystery/Thriller","Music Production, Volleyball, Videogames",
9/9/2025 19:42:27,Bachelor's (CS),Yes,2-4 years,3,MacOS,Yes,"English, Mandarin","Africa, Asia, Europe, North America, South America",1/14/2004,8:30:00 AM,12:30:00 AM,Winter,No caffeine for me!,Pet dog,Interstellar,"Action, Comedy, Sci-Fi, Documentary","running, biking",
9/9/2025 19:45:23,Master's (DS) [Extension School],Yes,1-2 years,3,Windows,Yes,"Spanish, English, French","Asia, Europe, North America, South America",11/19/1991,8:30:00 AM,12:30:00 AM,Winter,Coffee,Pet dog,V for Vendetta,"Action, Comedy, Sci-Fi, Fantasy","watching videogame streams, learning a language, watching anime",
9/9/2025 19:46:18,Master's (DS),Yes,2-4 years,3,MacOS,Yes,"English, Chinese","Africa, Asia, Europe, North America",4/6/2003,7:30:00 AM,12:30:00 AM,Fall,Coffee,Pet dog,The Imitation Game,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","playing bass, video games, basketball",
9/9/2025 19:50:46,Master's (DS) [Extension School],Yes,4+ years,5,Windows,Yes,"Python,SQL, VBS","Asia, Australia, North America",4/8/1991,,12:00:00 AM,Spring,Coffee,Pet cat,"Godfather I, II, III","Comedy, Sci-Fi, Fantasy, Mystery/Thriller","Camping, Fishing, Cooking",
9/9/2025 19:52:21,Master's (MDes) ,Yes,Less than 1 year,2,MacOS,Yes,"English, Mandarin","Asia, Europe, North America",4/7/2000,7:30:00 AM,12:00:00 PM,Spring,Coffee,Pet cat,PERFECT BLUE,Drama,"playing volleyball, painting, reading books",
9/9/2025 19:56:17,Bachelor's (CS),Yes,1-2 years,1,MacOS,Yes,English,"Europe, North America",3/3/2004,8:00:00 AM,12:00:00 AM,Winter,No caffeine for me!,Pet dog,Tenet,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller","reading, eating, writing",
9/9/2025 19:56:42,Bachelor's (CS),Yes,2-4 years,3,MacOS,No,"English, Chinese","Asia, Europe, North America",2/9/2004,9:50:00 AM,1:45:00 AM,Fall,Tea,Pet dog,,,,
9/9/2025 19:57:27,Master's (MDE),No,Less than 1 year,1,MacOS,Yes,"Spanish, English","Europe, North America, South America",12/6/1994,6:00:00 AM,11:00:00 AM,Summer,Coffee,Pet dog,Soul,"Drama, Sci-Fi, Romance, Documentary","Going to the gym, reading, walking ",
9/9/2025 19:58:29,Bachelor's (BME),Yes,Less than 1 year,2,MacOS,No,"English, Spanish","Europe, North America, South America",7/1/2005,8:00:00 AM,12:30:00 AM,Fall,Coffee,Pet dog,Se7en,"Action, Comedy, Drama, Sci-Fi","running, snorkeling, reading",
9/9/2025 19:58:48,Bachelor's (CS),Yes,2-4 years,2,Windows,Yes,"English, Hindi","Asia, North America",6/1/2001,6:00:00 AM,10:00:00 PM,Winter,Tea,Pet rock,TV show - Suits,"Comedy, Documentary","Learning, Learning and Implementing",
9/9/2025 20:01:55,Bachelor's (CS),Yes,1-2 years,3,MacOS,Yes,"English, Spanish","Europe, North America, South America",9/30/2003,10:00:00 AM,2:00:00 AM,Spring,Coffee,Pet dog,Valerian and the City of a Thousand Planets,"Drama, Horror, Mystery/Thriller, Romance","musical theatre, singing, journaling ",
9/9/2025 20:08:44,Bachelor's (Statistics),Yes,2-4 years,2,MacOS,Yes,English,"North America, South America",4/3/2006,8:30:00 AM,1:00:00 AM,Spring,No caffeine for me!,Pet dog,,,,
9/9/2025 20:10:06,"Bachelor's (not CS, AM, or Statistics)",Yes,2-4 years,3,MacOS,No,"English, Spanish, Marathi","Asia, Europe, North America",,,,Spring,Tea,Pet rock,,,,
9/9/2025 20:10:40,Master's (DS) [Extension School],Yes,4+ years,3,Windows,Yes,"English, Arabic, Malayalam","Africa, Asia, Europe, North America",4/14/1999,10:00:00 AM,2:00:00 AM,Fall,Coffee,Pet rock,Interstellar,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Guitar, video games, weightlifting",
