program,jupyter,python_experience,pandas_skill,os,dark_mode,languages,continents,dob,waketime,bedtime,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0,num_languages,age
master of finance at mit,yes,2-4 years,4,MacOS,True,"english, chinese","asia, north america, south america",2002-01-04,1900-01-01 08:00:00,11:45:00 pm,fall,tea,pet dog,the prestige,"action, comedy, sci-fi, mystery/thriller, romance, documentary","video gaming, tennis, piano",,2,23.0
phd,yes,1-2 years,2,Windows,True,"english, korean","asia, europe, north america",1994-10-30,1900-01-01 08:00:00,1:00:00 am,summer,coffee,pet dog,,"action, comedy, sci-fi, mystery/thriller, documentary",,,2,30.0
master's (ds) [extension school],yes,1-2 years,3,Windows,False,"english,thai","asia, north america",2001-01-22,1900-01-01 07:00:00,10:00:00 pm,spring,tea,pet cat,rush hour,"comedy, romance","gardening,napping,camping",,1,24.0
master's (ds),yes,1-2 years,3,MacOS,False,mandarin english french,asia,2002-01-12,1900-01-01 09:30:00,12:00:00 am,summer,no caffeine for me!,pet cat,love actually,"action, drama, sci-fi, fantasy, mystery/thriller, romance","reading, musicals, traveling",,1,23.0
master's (ds),no,Less than 1 year,2,MacOS,True,"english, mandarin","asia, australia, europe, north america",2002-08-27,1900-01-01 07:00:00,1:30:00 am,fall,coffee,pet cat,saw,"horror, mystery/thriller","taking photos, cafe hopping, watching movie",,2,23.0
master's (ds),yes,2-4 years,4,MacOS,True,"english, latin",north america,2003-06-02,1900-01-01 07:00:00,1:00:00 am,spring,energy drinks,pet rock,the dark knight,"comedy, horror, mystery/thriller","playing the piano, reading latin, weightlifting",,2,22.0
bachelor's (statistics),yes,1-2 years,2,Windows,True,"english, tamil","asia, europe, north america",2005-08-17,1900-01-01 08:30:00,1:30:00 am,fall,tea,pet rock,inside out 2,"horror, mystery/thriller, documentary","dancing, painting, playing tetris",,2,20.0
masters in design studies (mdes),yes,Less than 1 year,1,Windows,True,"english, cantonese, mandarin ","africa, asia, australia, europe, north america, south america",1993-04-09,1900-01-01 08:30:00,12:30:00 am,fall,coffee,pet dog,eternal sunshine of the spotless mind,"comedy, drama, romance, documentary","tennis, my dog! , cross stitching",,3,32.0
bachelor's (cs),yes,4+ years,2,MacOS,True,"english, mandarin","asia, europe, north america",2004-03-25,1900-01-01 08:30:00,12:30:00 pm,summer,tea,pet dog,tenet,"action, drama, sci-fi, fantasy, romance","frisbee, tennis, card games",,2,21.0
bachelor's (statistics),yes,1-2 years,2,MacOS,True,"english, arabic",asia,2003-10-06,1900-01-01 08:00:00,1:00:00 am,spring,coffee,pet rock,you,mystery/thriller,"crying, screaming, sobbing",,2,21.0
bachelor's (cs),no,1-2 years,1,MacOS,False,"english, ukrainian, french, russian","asia, europe, north america",2005-03-10,1900-01-01 08:30:00,11:00:00 am,spring,no caffeine for me!,pet dog,titanic,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance","reading, going on walks, playing the piano",,4,20.0
bachelor's (cs),yes,1-2 years,2,MacOS,False,"english, hindi","asia, europe, north america",2005-09-26,1900-01-01 08:00:00,11:00:00 am,fall,coffee,pet rock,crazy stupid love,"action, comedy, romance","journalism, guitar, golf",,2,19.0
bachelor's (am),no,Less than 1 year,1,MacOS,True,"italian, english","africa, asia, europe, north america, south america",,,12:00:00 am,spring,energy drinks,pet cat,,,photography,,2,
bachelor's (cs),no,1-2 years,2,MacOS,True,"english, arabic","asia, europe, north america",2006-08-24,1900-01-01 09:00:00,2:00:00 am,summer,energy drinks,pet cat,avengers endgame,"action, horror","tennis, video games, coding",,2,19.0
mit mfin,yes,Less than 1 year,2,MacOS,True,mandarin,"asia, europe, north america",,1900-01-01 08:00:00,11:00:00 pm,fall,coffee,pet cat,interstellar,"action, comedy, sci-fi, fantasy, mystery/thriller","reading, playing video games, listening to music",,1,
master's (ds),yes,1-2 years,3,MacOS,False,mandarin,"antarctica, asia, europe, north america",2002-08-09,1900-01-01 07:15:00,2:00:00 am,fall,coffee,pet dog,,"action, comedy, drama, sci-fi, fantasy, romance",,,1,23.0
phd,yes,2-4 years,4,MacOS,True,chinese english,"asia, north america",2000-12-21,1900-01-01 11:59:00,2:00:00 am,summer,no caffeine for me!,pet dog,moving castles,"action, sci-fi",piano,,1,24.0
master's (bioinformatics),yes,1-2 years,3,MacOS,False,"english, chinese","asia, europe, north america",2003-04-05,1900-01-01 07:00:00,11:00:00 am,summer,coffee,pet cat,charlie and the chocolate factory,"comedy, fantasy, romance","traveling, dancing, doing work-out",,2,22.0
bachelor's (cs),yes,2-4 years,3,MacOS,True,"english, filipino","asia, north america",2005-07-04,1900-01-01 08:30:00,1:00:00 am,fall,coffee,pet dog,la la land,"comedy, drama, horror, sci-fi, mystery/thriller, romance, documentary","biking, hiking, tennis",,2,20.0
bachelor's (cs),yes,4+ years,2,MacOS,True,"english, chinese, cantonese, malay","asia, australia, europe, north america",2005-09-30,1900-01-01 08:00:00,12:30:00 am,fall,no caffeine for me!,pet dog,,,,,4,19.0
master's (ds),yes,2-4 years,5,MacOS,False,"chinese, english","asia, north america",2003-07-04,1900-01-01 08:30:00,12:00:00 am,fall,no caffeine for me!,pet dog,,"horror, mystery/thriller","crochet, music, photography",,2,22.0
bachelor's (cs),yes,4+ years,4,Windows,True,"english, thai","asia, australia, europe, north america, south america",2004-12-08,1900-01-01 08:30:00,12:00:00 am,fall,tea,pet dog,eeaao,"action, comedy, drama, sci-fi, mystery/thriller","basketball, cooking, coding",,2,20.0
bachelor's (cs),yes,2-4 years,3,MacOS,False,english,"europe, north america",2005-02-08,1900-01-01 07:00:00,12:00:00 am,winter,no caffeine for me!,pet cat,mamma mia,"comedy, drama, fantasy","hiking, playing guitar, reading",,1,20.0
master's (ds),yes,2-4 years,3,Windows,True,"english,chinese","africa, asia, europe, north america, south america",2002-11-06,1900-01-01 09:00:00,12:00:00 am,spring,no caffeine for me!,pet cat,,"action, horror, sci-fi","scuba dive,tennis, traveling",,1,22.0
ms/mba,yes,1-2 years,3,MacOS,True,"english, mandarin, spanish","asia, europe, north america, south america",2002-02-16,1900-01-01 08:00:00,1:00:00 am,summer,no caffeine for me!,pet rock,pacific rim,"action, comedy, sci-fi","chess, bouldering, ultimate frisbee",,3,23.0
master's (ds) [extension school],yes,1-2 years,4,MacOS,True,"english, spanish, portuguese","north america, south america",1989-05-05,1900-01-01 04:00:00,9:00:00 pm,summer,energy drinks,pet dog,le fabuleux destin d'amélie poulain,"comedy, drama","woodworking, off-roading, diy",,3,36.0
bachelor's (statistics),yes,2-4 years,4,MacOS,False,english,"europe, north america",,,,,,,,,,,1,
master's (ds) [extension school],yes,1-2 years,3,MacOS,True,chinese/taiwanese,"africa, asia, australia, europe, north america, south america",1977-08-18,1900-01-01 05:55:00,12:30:00 am,summer,coffee,pet dog,jurassic park,"action, comedy, sci-fi, fantasy, documentary","skiing, basketball, american football",,1,48.0
master's (ds) [extension school],yes,2-4 years,3,Linux,True,"english, french","europe, north america",1988-08-21,1900-01-01 07:00:00,10:45:00 pm,fall,tea,pet cat,the princess bride,"action, comedy, sci-fi, mystery/thriller, documentary","ceramics, computer gaming, singing",,2,37.0
phd,yes,4+ years,5,MacOS,True,"english, spanish","asia, europe, north america",2002-04-05,1900-01-01 08:00:00,11:00:00 am,spring,tea,pet dog,,"comedy, sci-fi","crocheting, baking",,2,23.0
graduate certificate [extension school],no,Less than 1 year,1,I use Google colab,False,"bengali, english","asia, australia, europe, north america",1972-07-26,1900-01-01 05:30:00,10:30:00 pm,spring,tea,pet cat,the message (1976 film),"drama, mystery/thriller, documentary","reading books, cooking, music",,2,53.0
master's (ds) [extension school],yes,4+ years,4,Windows,False,"english, spanish, german","asia, europe, north america",1975-06-22,1900-01-01 06:30:00,11:30:00 am,winter,coffee,pet cat,star wars: episode iv - a new hope,"action, drama, horror, sci-fi, fantasy, mystery/thriller, documentary","music, data science, car detailing",,3,50.0
bachelor's (economics),no,Less than 1 year,1,MacOS,False,"english, chinese","asia, europe, north america",2004-09-01,1900-01-01 08:00:00,11:30:00 pm,winter,no caffeine for me!,pet dog,good will hunting,romance,"running, skiing, watching tv",,2,21.0
master's (cse),yes,4+ years,4,MacOS,False,"english, french","africa, asia, australia, europe, north america, south america",2004-12-20,1900-01-01 08:00:00,11:00:00 pm,winter,no caffeine for me!,pet cat,,"comedy, sci-fi, fantasy, mystery/thriller, romance",,,2,20.0
master's (ds) [extension school],yes,Less than 1 year,1,Windows,True,"english, french, chinese","asia, europe, north america",1987-05-05,1900-01-01 05:00:00,1:00:00 am,fall,tea,pet dog,the sound of music,"action, comedy, mystery/thriller, romance, documentary","yoga, rock climbing, reading",,3,38.0
master's (ds),yes,2-4 years,3,MacOS,True,"english, chinese, korean","asia, europe, north america, south america",2002-12-19,1900-01-01 09:00:00,1:00:00 am,summer,coffee,pet dog,lion king,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary",,,3,22.0
bachelor's (cs),yes,1-2 years,1,MacOS,True,mandarin,"asia, europe, north america",2005-01-24,1900-01-01 10:00:00,1:00:00 am,summer,energy drinks,pet rock,,,,,1,20.0
bachelor's (cs),yes,1-2 years,2,MacOS,False,"english, mandarin","asia, australia, europe, north america",2004-12-25,1900-01-01 09:00:00,2:00:00 am,summer,coffee,pet dog,i dont know,"action, comedy, romance, documentary","running, walking my dog, watching basketball games",,2,20.0
bachelor's (statistics),no,2-4 years,2,MacOS,False,english,"asia, europe, north america",2005-02-15,1900-01-01 08:00:00,12:00:00 am,summer,no caffeine for me!,pet dog,aladdin,"comedy, drama, fantasy, romance","playing pickleball, reading, playing piano",,1,20.0
bachelor's (cs),yes,1-2 years,1,MacOS,False,"english, spanish","europe, north america, south america",2004-08-10,1900-01-01 08:00:00,12:00:00 am,summer,tea,pet dog,,"action, comedy, drama, sci-fi, mystery/thriller, romance","reading, running, netflix",,2,21.0
phd,yes,4+ years,3,Linux,True,"english, arabic, dutch, german, italian","asia, europe, north america",1997-05-30,1900-01-01 08:00:00,12:12:00 am,fall,coffee,pet cat,the grand budapest hotel,"comedy, horror, fantasy, arthouse","lifting weights, crochet, smoking hookah",,5,28.0
mit,yes,Less than 1 year,2,MacOS,True,"english, chinese, french","asia, australia, europe, north america",2003-04-24,1900-01-01 09:30:00,1:00:00 am,spring,coffee,pet dog,fast and furious,"action, comedy","air rifle, cafe hopping, gyming",,3,22.0
phd,yes,Less than 1 year,1,MacOS,False,"english, danish","europe, north america, south america",1998-10-10,1900-01-01 09:00:00,11:00:00 pm,fall,coffee,pet dog,,"comedy, drama, sci-fi, fantasy, documentary","gardening, hiking, aerial acrobatics",,2,26.0
phd,no,Less than 1 year,1,Windows,False,"english, croatian, bosnian, serbian, montenegrin","asia, europe, north america",1991-04-17,1900-01-01 08:00:00,12:00:00 am,summer,coffee,pet dog,the shawshank redemption,"action, comedy","running, learning data science, having coffee with friends",,5,34.0
bachelor's (statistics),yes,4+ years,3,MacOS,False,"english, hindi, spanish","asia, europe, north america, south america",2005-05-20,1900-01-01 08:27:00,1:00:00 am,spring,coffee,pet dog,interstellar,"action, comedy, sci-fi, fantasy, mystery/thriller, romance","singing, writing, playing guitar",,3,20.0
master's (ds),yes,1-2 years,3,MacOS,False,chinese，english,north america,2003-01-31,1900-01-01 08:30:00,12:00:00 am,spring,coffee,pet dog,avatar,romance,"travel, watch tv series, shopping",,1,22.0
master's (ds),yes,1-2 years,2,Windows,True,chinese ,"asia, north america",2003-08-11,1900-01-01 10:00:00,2:00:00 am,spring,coffee,pet dog,the dark knight rises ,"sci-fi, documentary","reading, bird watching, photography ",,1,22.0
bachelor's (cs),yes,Less than 1 year,2,MacOS,False,english,"africa, asia, australia, europe, north america, south america",2004-05-31,1900-01-01 08:00:00,1:00:00 am,fall,coffee,pet dog,,,,,1,21.0
master's (ds) [extension school],yes,4+ years,2,Windows,True,english,"asia, north america",1997-08-25,1900-01-01 07:00:00,12:00:00 am,fall,coffee,pet rock,lost in translation,"action, comedy, sci-fi","piano, guitar, writing poetry",,1,28.0
bachelor's (cs),yes,4+ years,4,MacOS,True,"persian, english","asia, europe, north america",2005-03-29,1900-01-01 08:00:00,12:00:00 am,fall,energy drinks,pet dog,shutter island,"action, drama, sci-fi, mystery/thriller, romance","running/walking, listening to music, trying new food",,2,20.0
"master's (dbmi, hms)",yes,1-2 years,3,MacOS,True,"chinese, english","asia, europe, north america",2002-10-24,1900-01-01 07:45:00,12:00:00 am,fall,coffee,pet cat,,"horror, mystery/thriller, romance, documentary","playing valorant, playing with my cat, cooking",,2,22.0
bachelor's (neuroscience),yes,2-4 years,2,MacOS,True,"english, spanish","europe, north america, south america",2004-06-16,1900-01-01 09:30:00,1:30:00 am,fall,tea,pet dog,everything everywhere all at once,"action, comedy, fantasy, romance","playing guitar, painting",,2,21.0
master's (landscape architecture),no,Less than 1 year,1,Windows,True,"english, chinese",asia,2001-11-10,1900-01-01 09:30:00,1:00:00 am,winter,coffee,pet dog,,"action, comedy, drama",,,2,23.0
master’s (cbqg),yes,4+ years,4,MacOS,True,"mandarin, english","asia, europe, north america",2003-02-10,1900-01-01 08:40:00,1:00:00 am,fall,no caffeine for me!,pet rock,smile 2,"comedy, horror","going to live concert, watching horror movies, listening to music ",,2,22.0
bachelor's (cs),yes,4+ years,4,MacOS,True,"english, krio",north america,2004-02-13,1900-01-01 09:15:00,2:00:00 am,summer,energy drinks,pet dog,avengers: endgame,"action, comedy, drama, mystery/thriller, documentary","playing nintendo, watching anime, spending time with friends",,2,21.0
ms/mba,yes,Less than 1 year,2,Windows,True,"swahili, basic french","africa, asia, europe, north america, south america",1995-04-02,1900-01-01 06:00:00,10:00:00 pm,summer,coffee,pet cat,groundhog day,"action, comedy, mystery/thriller","chess, running, reading",,2,30.0
master's (ds),yes,4+ years,4,MacOS,True,"english, korean, japanese","asia, europe, north america",1997-10-24,1900-01-01 08:30:00,1:00:00 am,fall,coffee,pet dog,mission impossible series,"action, comedy, drama, romance","watching yt, going on a walk, walking my dog",,3,27.0
master's (ds),yes,2-4 years,3,MacOS,False,"mandarine, english","asia, europe, north america",2002-12-20,1900-01-01 10:00:00,2:00:00 am,fall,coffee,pet cat,harry potter,"action, comedy, fantasy, romance","playing tennis, playing the piano, traveling",,2,22.0
phd,yes,1-2 years,2,MacOS,False,english,"asia, europe, north america",2000-04-20,1900-01-01 06:45:00,11:00:00 pm,fall,coffee,pet dog,,"action, comedy, drama, romance, documentary","skiing, running, hiking",,1,25.0
faculty ,yes,4+ years,5,MacOS,True,"greek, english ","africa, antarctica, asia, australia, europe, north america, south america",1966-09-10,1900-01-01 06:00:00,1:00:00 am,winter,coffee,pet rock,withnail and i,,"xc skiing, road cycling and teaching ",,2,59.0
hse student (taking this course only in the whole semester),yes,2-4 years,4,MacOS,True,spanish and english,north america,1999-09-23,1900-01-01 07:00:00,10:30:00 pm,winter,coffee,pet dog,demon slayer: infinity castle,"comedy, drama, horror, sci-fi, mystery/thriller, romance, documentary","hitting the gym, playing videogames, cooking",,1,25.0
master's (ds) [extension school],yes,2-4 years,4,MacOS,False,"german, english, spanish","africa, asia, europe, north america",1970-10-31,1900-01-01 05:30:00,10:00:00 pm,fall,coffee,pet rock,2001: a space odyssey,"sci-fi, documentary, independent","hiking, skiing, piano playing",,3,54.0
master's (ds),yes,2-4 years,3,MacOS,True,"english, chinese","asia, europe, north america, south america",2003-03-21,1900-01-01 08:00:00,2:00:00 am,fall,coffee,pet dog,little women (2019),"action, drama, sci-fi, romance","swimming, watching movies, grocery shopping",,2,22.0
master's (ds) [extension school],yes,4+ years,4,Windows,True,"english, french","africa, asia, australia, europe, north america, south america",,1900-01-01 06:30:00,10:00:00 pm,summer,coffee,pet dog,pulp fiction ,"action, comedy, drama, sci-fi, mystery/thriller, romance","padel, running, fantasy baseball",,2,
phd,yes,1-2 years,2,MacOS,True,elvish,"asia, europe, north america",2000-10-18,1900-01-01 09:30:00,1:00:00 am,spring,coffee,pet cat,,"action, comedy, sci-fi, documentary","dancing, cooking, hiking",,1,24.0
bachelor's (cs),yes,4+ years,2,wsl,True,english,asia,2005-07-27,1900-01-01 08:30:00,2:00:00 am,summer,tea,pet dog,"jurassic park, jaws, grease","action, comedy, romance, documentary","coding, reading, fishing",,1,20.0
master's (ds),yes,1-2 years,1,Windows,True,"english, chinese","asia, north america",2003-06-10,1900-01-01 09:30:00,12:30:00 am,spring,coffee,pet rock,harry potter and the half-blood prince,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","fps game (cs2, apex legend, valorant), watch movies, listen musics",,2,22.0
bachelor's (cs),yes,4+ years,1,Windows,True,english,"asia, north america",2005-06-28,1900-01-01 09:30:00,1:30:00 am,summer,no caffeine for me!,pet dog,hidden figures,i don’t watch a lot of movies.,"piano, board games, and puzzles",,1,20.0
master's (ds),yes,2-4 years,3,MacOS,True,"russian, english, spanish","asia, europe, north america, south america",1994-12-20,1900-01-01 04:30:00,9:00:00 pm,summer,coffee,pet cat,mad max: fury road,"action, drama, sci-fi, fantasy, mystery/thriller, documentary","submission grappling, record crate digging, reading",,3,30.0
master's (ds) [extension school],yes,4+ years,3,Linux,True,"english, farsi, turkish","asia, europe, north america",1984-07-06,1900-01-01 07:00:00,11:00:00 am,summer,coffee,pet dog,matrix,"action, comedy, drama, sci-fi, mystery/thriller","movies, nature, exploration",,3,41.0
phd,yes,2-4 years,3,Windows,True,"english, spanish, ","europe, north america",1999-04-20,1900-01-01 06:10:00,11:30:00 pm,summer,coffee,pet cat,surf's up,"action, comedy, horror, sci-fi, mystery/thriller","music production, volleyball, videogames",,3,26.0
bachelor's (cs),yes,2-4 years,3,MacOS,True,"english, mandarin","africa, asia, europe, north america, south america",2004-01-14,1900-01-01 08:30:00,12:30:00 am,winter,no caffeine for me!,pet dog,interstellar,"action, comedy, sci-fi, documentary","running, biking",,2,21.0
master's (ds) [extension school],yes,1-2 years,3,Windows,True,"spanish, english, french","asia, europe, north america, south america",1991-11-19,1900-01-01 08:30:00,12:30:00 am,winter,coffee,pet dog,v for vendetta,"action, comedy, sci-fi, fantasy","watching videogame streams, learning a language, watching anime",,3,33.0
master's (ds),yes,2-4 years,3,MacOS,True,"english, chinese","africa, asia, europe, north america",2003-04-06,1900-01-01 07:30:00,12:30:00 am,fall,coffee,pet dog,the imitation game,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","playing bass, video games, basketball",,2,22.0
master's (ds) [extension school],yes,4+ years,5,Windows,True,"python,sql, vbs","asia, australia, north america",1991-04-08,,12:00:00 am,spring,coffee,pet cat,"godfather i, ii, iii","comedy, sci-fi, fantasy, mystery/thriller","camping, fishing, cooking",,2,34.0
master's (mdes) ,yes,Less than 1 year,2,MacOS,True,"english, mandarin","asia, europe, north america",2000-04-07,1900-01-01 07:30:00,12:00:00 pm,spring,coffee,pet cat,perfect blue,drama,"playing volleyball, painting, reading books",,2,25.0
bachelor's (cs),yes,1-2 years,1,MacOS,True,english,"europe, north america",2004-03-03,1900-01-01 08:00:00,12:00:00 am,winter,no caffeine for me!,pet dog,tenet,"action, comedy, drama, sci-fi, fantasy, mystery/thriller","reading, eating, writing",,1,21.0
bachelor's (cs),yes,2-4 years,3,MacOS,False,"english, chinese","asia, europe, north america",2004-02-09,1900-01-01 09:50:00,1:45:00 am,fall,tea,pet dog,,,,,2,21.0
master's (mde),no,Less than 1 year,1,MacOS,True,"spanish, english","europe, north america, south america",1994-12-06,1900-01-01 06:00:00,11:00:00 am,summer,coffee,pet dog,soul,"drama, sci-fi, romance, documentary","going to the gym, reading, walking ",,2,30.0
bachelor's (bme),yes,Less than 1 year,2,MacOS,False,"english, spanish","europe, north america, south america",2005-07-01,1900-01-01 08:00:00,12:30:00 am,fall,coffee,pet dog,se7en,"action, comedy, drama, sci-fi","running, snorkeling, reading",,2,20.0
bachelor's (cs),yes,2-4 years,2,Windows,True,"english, hindi","asia, north america",2001-06-01,1900-01-01 06:00:00,10:00:00 pm,winter,tea,pet rock,tv show - suits,"comedy, documentary","learning, learning and implementing",,2,24.0
bachelor's (cs),yes,1-2 years,3,MacOS,True,"english, spanish","europe, north america, south america",2003-09-30,1900-01-01 10:00:00,2:00:00 am,spring,coffee,pet dog,valerian and the city of a thousand planets,"drama, horror, mystery/thriller, romance","musical theatre, singing, journaling ",,2,21.0
bachelor's (statistics),yes,2-4 years,2,MacOS,True,english,"north america, south america",2006-04-03,1900-01-01 08:30:00,1:00:00 am,spring,no caffeine for me!,pet dog,,,,,1,19.0
"bachelor's (not cs, am, or statistics)",yes,2-4 years,3,MacOS,False,"english, spanish, marathi","asia, europe, north america",,,,spring,tea,pet rock,,,,,3,
master's (ds) [extension school],yes,4+ years,3,Windows,True,"english, arabic, malayalam","africa, asia, europe, north america",1999-04-14,1900-01-01 10:00:00,2:00:00 am,fall,coffee,pet rock,interstellar,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, documentary","guitar, video games, weightlifting",,3,26.0
bachelor's (cs),yes,2-4 years,3,MacOS,True,"english, spanish","europe, north america",2005-05-28,1900-01-01 10:00:00,2:00:00 am,fall,energy drinks,pet cat,yesterday,"action, comedy, sci-fi, fantasy, mystery/thriller",listening to music,,2,20.0
phd,yes,1-2 years,3,Windows,True,english,"europe, north america, south america",,1900-01-01 08:30:00,12:30:00 am,summer,coffee,pet rock,,"comedy, drama, romance, documentary",,,1,
bachelor's (cs),yes,2-4 years,3,Windows,True,"english, latin","asia, europe, north america, south america",,1900-01-01 09:00:00,12:00:00 am,spring,no caffeine for me!,pet dog,the lion king,"action, sci-fi, fantasy, documentary",,,2,
bachelor's (cs),yes,4+ years,4,MacOS,True,"bulgarian, english, german","asia, europe, north america",2004-05-03,1900-01-01 09:30:00,2:00:00 am,spring,no caffeine for me!,pet cat,hunger games,"action, sci-fi, mystery/thriller","ski, volleyball, hiking",,3,21.0
master's (ds),yes,2-4 years,3,MacOS,True,"chinese, english","asia, australia, north america",2003-12-17,1900-01-01 09:00:00,12:00:00 am,winter,coffee,pet rock,midsommar,"horror, sci-fi, fantasy, mystery/thriller, documentary","nightdreaming, daydreaming, going on a jet2holiday(cuz nothing beats it)",,2,21.0
bachelor's (am),no,1-2 years,1,MacOS,True,idk,"asia, australia, europe, north america",2005-02-23,1900-01-01 09:20:00,12:00:00 am,summer,no caffeine for me!,pet dog,point break,"action, comedy, sci-fi, fantasy, mystery/thriller","surfing, hydrofoiling, golf",,1,20.0
bachelor's (am),yes,2-4 years,3,Windows,True,"english, italian, french, spanish","africa, asia, europe, north america",2004-11-17,1900-01-01 08:00:00,11:00:00 pm,spring,coffee,pet cat,fury,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","chess, photography, talking to people",,4,20.0
master's (ds),yes,Less than 1 year,1,Windows,True,"english, mandarin ","africa, asia, australia, europe, north america",2002-07-09,1900-01-01 07:30:00,12:30:00 am,spring,coffee,pet dog,green snake ,"action, fantasy","reading, video games, writing ",,2,23.0
master's (ds),yes,2-4 years,4,Windows,False,"english, chinese","asia, north america",2002-12-10,1900-01-01 09:00:00,1:00:00 am,fall,no caffeine for me!,pet cat,,"action, romance","music, photography, traveling",,2,22.0
master's (ds),yes,2-4 years,3,MacOS,False,"english, mandarin","asia, north america",2002-09-13,1900-01-01 09:30:00,1:30:00 am,summer,coffee,pet dog,the shawshank redemption,"action, comedy","dancing, gaming, playing texas hold'em",,2,22.0
master of finance mit,yes,Less than 1 year,3,MacOS,True,english,"africa, asia, australia, europe, north america, south america",1996-07-18,1900-01-01 07:30:00,1:00:00 am,summer,coffee,pet dog,interstellar,mystery/thriller,"hiking, travelling, movies",,1,29.0
phd,yes,Less than 1 year,2,MacOS,False,"english, mandarin, spanish","asia, europe, north america",2001-07-30,1900-01-01 09:00:00,1:00:00 am,fall,tea,pet rock,,"comedy, documentary",baking,,3,24.0
ms in biomedical informatics,yes,Less than 1 year,2,MacOS,False,"mandarin, english","asia, europe, north america",2002-11-23,1900-01-01 08:30:00,12:00:00 am,fall,tea,pet cat,perfect days ,"drama, sci-fi, mystery/thriller, romance","taking photos, attending concert, watching movies",,2,22.0
master's (ds) [extension school],yes,4+ years,4,Linux,True,"english, tagalog, spanish","asia, europe, north america, south america",1994-08-22,1900-01-01 07:30:00,12:00:00 am,fall,coffee,pet rock,back to the future,"action, comedy, horror, sci-fi, documentary","baking, learning languages",,3,31.0
master's (ds),yes,1-2 years,2,MacOS,False,mandarin,"asia, north america",2003-04-21,1900-01-01 09:30:00,1:00:00 am,fall,coffee,pet cat,infernal affairs,"action, comedy, fantasy, mystery/thriller","playing table tennis, walking, reading",,1,22.0
ms/mba,yes,1-2 years,2,MacOS,False,"english, chinese","africa, asia, australia, europe, north america, south america",2002-05-28,1900-01-01 07:30:00,12:30:00 am,summer,coffee,pet cat,yi yi,"drama, sci-fi","boardgame, singing, swinging",,2,23.0
bachelor's (am),yes,2-4 years,1,Windows,True,"english, akan, japanese, spanish, french","africa, north america",2004-11-20,1900-01-01 08:30:00,12:00:00 am,spring,no caffeine for me!,pet rock,jigsaw,"horror, sci-fi, romance","video games, running",,5,20.0
